WRN 2026-04-10T15:10:56.517 ui.84092   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-10T15:10:56.521 ui.84092   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-10T15:10:56.521 ui.84092   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-10T15:10:56.521 ui.84092   tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-04-10T15:10:56.522 ui.84092   tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-04-10T15:11:08.023 ui.84271   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-10T15:11:08.026 ui.84271   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-10T15:11:08.027 ui.84271   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-10T15:11:08.027 ui.84271   tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-04-10T15:11:08.027 ui.84271   tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-04-10T15:12:55.229 ui.84978   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-10T15:12:55.232 ui.84978   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-10T15:12:55.232 ui.84978   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-10T15:12:55.232 ui.84978   tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-04-10T15:12:55.232 ui.84978   tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-04-10T15:13:13.757 ui.85439   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-04-10T15:13:13.762 ui.85439   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-04-10T15:13:13.762 ui.85439   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-04-10T15:13:13.762 ui.85439   tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-04-10T15:13:13.762 ui.85439   tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
